,Mineral Name,RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,RRUFF IDs,Country of Type Locality,Year First Published,IMA Status,Structural Groupname,Fleischers Groupname,Status Notes,Crystal Systems,Space Groups,Oldest Known Age (Ma),Valence Elements,Paragenetic Modes
10,Achalaite,Fe2+Ti4+Nb5+2O8,Fe2+TiNb2O8,Fe Ti Nb O,IMA2013-103,nan,Argentina,2013,Approved,Wodginite, ,"Galliski M Á, Márquez-Zavalía M F, Černý P, Lira R, Colombo F, Roberts A C, Bernhardt H J (2016) Achalaite, Fe^2+^TiNb_2_O_8_, a new member of the wodginite group from the La Calandria granitic pegmatite, Córdoba, Argentina. The Canadian Mineralogist 54, 1043-1052",monoclinic,C2/c,,Fe^2+ Ti^4+ Nb^5+ O,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
11,Achávalite,FeSe,FeSe,Fe Se,nan,nan,Argentina,1939,"Approved,Renamed",Nickeline, ,"Olsacher J (1939) Achavalita, seleniuro de hierro. Nueva especie mineral, Boletin de la Facultad de Ciencias Exactas, Fisicas y Naturales, Universidad Nacional de Cordoba 2, 73-78

Spelling of name changed from achavalite to achávalite:
Hålenius U, Hatert F, Pasero M, Mills S J (2015) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 28. New minerals and nomenclature modifications approved in 2015. Mineralogical Magazine 79, 1859-1864",hexagonal,P6_3mc|P6_3/mmc,,Fe Se,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
12,Achyrophanite,"(K,Na)3(Fe3+,Ti,Al,Mg)5O2(As5+O4)5","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5",K Na Fe Ti Al Mg O As,IMA2018-011,nan,Russia,2018,"Approved,Pending publication",Not in a structural group, ,"Pekov, I.V., Zubkova, N.V., Koshlyakova, N.N., Belakovskiy, D.I., Vigasina, M.F., Agakhanov, A.A., Britvin, S.N., Turchkova, A.G., Sidorov, E.G. and Pushcharovsky, D.Y. (2018) Achyrophanite, IMA2018-011. CNMNC Newsletter No 43, June 2018, page 783; Mineralogical Magazine, 82, 779–785",orthorhombic,P222_1,3.6e-05,K Na Fe^3+ Ti Al Mg O As^5+,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
13,Acmonidesite,"(N3-H4,K,Pb2+,Na)9Fe2+4(S6+O4)5Cl8","(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8",N H K Pb Na Fe S O Cl,IMA2013-068,nan,Italy,2013,Approved,Not in a structural group, ,"Demartin F, Castellano C, Campostrini I (2019) Acmonidesite, a new ammonium sulfate chloride from La Fossa crater, Vulcano, Aeolian Islands, Italy. Mineralogical Magazine 83, 137-142",orthorhombic,C222_1,,N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
14,Actinolite,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,nan,R040063 R040064 R050025 R050336 R060045 R060041 R120010,Germany / Austria,1794,"Approved,Redefined",Amphibole,amphibole-group 2 Ca,"Originally named actynolite:
Kirwan R (1794) 16th species: actynolite, in Elements of Mineralogy, 2nd Edition, Volume 1, Elmsly (London) 167-170",monoclinic,C2/m,4000.0,Ca Mg Fe^2+ Si O H,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism"
15,Acuminite,SrAlF4(OH)·H2O,SrAlF4(OH)·H2O,Sr Al F O H,IMA1986-038,nan,Denmark (Greenland),1986,Approved,Tikhonenkovite, ,"Pauly H, Petersen O V (1987) Acuminite, a new Sr-fluoride from Ivigtut, South Greenland, Neues Jahrbuch für Mineralogie, Monatshefte 1987, 502-514",monoclinic,C2/c,1275.0,Sr Al F O H,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
16,Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),Ca Fe Al Si O B H,IMA2012-101,nan,Japan,2012,Approved,Tourmaline, ,"Nishio-Hamane D, Minakawa T, Yamaura J, Oyama T, Ohnishi M, Shimobayashi N (2014) Adachiite, a Si-poor member of the tourmaline supergroup from the Kiura mine, Oita Prefecture, Japan. Journal of Mineralogical and Petrological Sciences 109, 74-78",hexagonal,R3m,,Ca Fe^2+ Al Si O B H,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
17,Adamite,Zn2+2As5+O4(OH),Zn2(AsO4)(OH),Zn As O H,nan,R040130 R050020 R060593,Chile,1866,"Approved,Grandfathered",Andalusite,olivenite,"Friedel C, Daubrée G A (1866) Sur l‘adamine, nouvelle espèce minérale, Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences 62, 692-695",orthorhombic,Pnnm,2700.0,Zn^2+ As^5+ O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
18,Adamsite-(Y),NaY3+(CO3)2·6H2O,NaY(CO3)2·6H2O,Na Y C O H,IMA1999-020,R070360,Canada,1999,Approved,Not in a structural group, ,"Grice J D, Gault R A, Roberts A C, Cooper M A (2000) Adamsite-(Y), a new sodium-yttrium carbonate mineral species from Mont Saint-Hilaire, Quebec, The Canadian Mineralogist 38, 1457-1466",triclinic,P1|P-1,1742.0,Na Y^3+ C O H,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
19,Adanite,Pb2+2(Te4+O3)(S6+O4),Pb2(Te4+O3)(SO4),Pb Te O S,IMA2019-088,R190033,USA,2019,Approved, , ,"Kampf A R, Housley R M, Rossman G R, Yang H, Downs R T (2020) Adanite, a new lead-tellurite-sulfate mineral from the North Star mine, Tintic, Utah, and Tombstone, Arizona, USA. The Canadian Mineralogist 58, 403-410",monoclinic,P2_1/n,,Pb^2+ Te^4+ O S^6+,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
20,Addibischoffite,Ca2Al6Al6O20,Ca2Al6Al6O20,Ca Al O,IMA2015-006,nan,Algeria (meteorite),2015,Approved,Sapphirine, ,"Ma C, Krot A N, Nagashima K (2017) Addibischoffite, Ca_2_Al_6_Al_6_O_20_, a new calcium aluminate mineral from the Acefer 214 CH carbonaceous chondrite: A new refractory phase from the solar nebula. American Mineralogist 102, 1556-1560

",triclinic,P-1,,Ca Al O,"Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates"
21,Adelite,CaMgAs5+O4(OH),CaMg(AsO4)(OH),Ca Mg As O H,nan,R060687,Sweden,1891,"Approved,Grandfathered",Adelite,adelite-descloizite-adelite subgroup,"Sjögren H (1891) Adelit, ett basiskt arseniat från Nordmarken och Långban, Geologiska Föreningens i Stockholm Förhandlingar 13, 781-789",orthorhombic,P2_12_12_1,1890.0,Ca Mg As^5+ O H,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
22,Admontite,MgB6O10·7H2O,MgB6O10·7H2O,Mg B O H,IMA1978-012,nan,Austria,1978,Approved,Not in a structural group, ,"Walenta K (1979) Admontit, ein neues Boratmineral aus der Gipslagerstätte Schildmauer bei Admont in der Steiermark (Österreich). Tschermaks Mineralogische und Petrographische Mitteilungen 26, 69-77

Chemical formula revised:
dal Negro A, Ungaretti L, Basso R (1976) The crystal structure of synthetic hydrated borates: (II) MgO·3B<sub>2</sub>O<sub>3</sub>·7H<sub>2</sub>O, Crystal Structure Communications 5, 433-436",monoclinic,P2_1/c,,Mg B O H,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
23,Adolfpateraite,K(U6+O2)(S6+O4)(OH)(H2O),K(UO2)(SO4)(OH)(H2O),K U O S H,IMA2011-042,nan,Czech Republic,2011,Approved,Not in a structural group, ,"Plášil J, Hloušek J, Veselovský F, Fejfarová K, Dušek M, Škoda R, Novák M, Čejka J, Sejkora J, Ondruš P (2012) Adolfpateraite, K(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)(H<sub>2</sub>O), a new uranyl sulphate mineral from Jáchymov, Czech Republic, American Mineralogist 97, 447-454",monoclinic,P2_1/c,0.0,K U^6+ O S^6+ H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
24,Adranosite,(N3-H4)4NaAl2(S6+O4)4Cl(OH)2,(NH4)4NaAl2(SO4)4Cl(OH)2,N H Na Al S O Cl,IMA2008-057,nan,Italy,2008,Approved,Adranosite, ,"Demartin F, Gramaccioli C M, Campostrini I (2010) Adranosite, (NH<sub>4</sub>)<sub>4</sub>NaAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>, a new ammonium sulfate chloride from La Fossa Crater, Vulcano, Aeolian Islands, Italy, The Canadian Mineralogist 48, 315-321",tetragonal,I4_1/acd,326.0,N^3- H Na Al S^6+ O Cl,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
25,Adranosite-(Fe),(N3-H4)4NaFe3+2(S6+O4)4Cl(OH)2,(NH4)4NaFe2(SO4)4Cl(OH)2,N H Na Fe S O Cl,IMA2011-006,nan,Italy,2011,Approved,Adranosite, ,"Mitolo D, Demartin F, Garavelli A, Campostrini I, Pinto D, Gramaccioli C M, Acquafredda P, Kolitsch U (2013) Adranosite-(Fe), (NH_4_)_4_NaFe_2_(SO_4_)_4_Cl(OH)_2_, a new ammonium sulfate chloride from La Fossa Crater, Vulcano, Aeolian Islands, Italy, The Canadian Mineralogist 51, 57-66",tetragonal,I4_1/acd,259.1,N^3- H Na Fe^3+ S^6+ O Cl,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
26,Adrianite,Ca12(Al4Mg3Si7)O32Cl6,Ca12(Al4Mg3Si7)O32Cl6,Ca Al Mg Si O Cl,IMA2014-028,nan,Mexico (meteorite),2014,Approved, , ,"Ma C, Krot A N (2018) Adrianite, Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_, a new Cl-rich silicate mineral from the Allende meteorite: An alteration phase in a Ca-Al-rich inclusion. American Mineralogist 103, 1329–1334

",cubic,I-43d,4567.61,Ca Al Mg Si O Cl,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
27,Aegirine,NaFe3+Si2O6,NaFe3+Si2O6,Na Fe Si O,nan,R040054 R050074 R061093 R070125 R070253 R120144 R120167,Norway,1835,Approved,Pyroxene,pyroxene,"Berzelius J (1835) [Untitled note on aegirine], Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde 1835, 184-185",monoclinic,C2/c,2613.0,Na Fe^3+ Si O,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
28,Aegirine-augite,"(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6",Ca Na Fe Mg Si O,nan,nan,Russia,1892,"Approved,Redefined",Pyroxene,pyroxene,"Rosenbusch H (1892) Mineralien des monoklinen Krystallsystems. Gruppe der monoklinen Pyroxene, in Mikroskopische Physiographie der Petrographisch Wichtigen Mineralien, E.Schweizerbart'sche Verlagshandlung (E. Koch) (Stuttgart) 510-539

Redefined:
Morimoto N (1988) Nomenclature of pyroxenes, Mineralogical Magazine 52, 535-550",monoclinic,C2/c,2680.0,Ca Na Fe^3+ Mg Fe^2+ Si O,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
29,Aenigmatite,Na4(Fe2+10Ti4+2)O4[Si12O36],Na4[Fe2+10Ti2]O4[Si12O36],Na Fe Ti O Si,nan,R061088 R061089,Denmark (Greenland),1865,Approved,Sapphirine,aenigmatite,"Breithaupt A (1865) Mineralogische Studien. 29. Kölbingit. Ainigmatit, Berg- und Huttenmannische Zeitung 24, 397-398",triclinic,P-1,4567.61,Na Fe^2+ Ti^4+ O Si,"Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
30,Aerinite,"(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O",Ca Na Fe Mg Al Si O H C,nan,R050610,Spain,1876,"Approved,Redefined",Not in a structural group, ,"von Lasaulx A (1876) Aërinit, ein neues Mineral, Neues Jahrbuch für Mineralogie 1876, 175, 352-358

Re-instated as a valid mineral:
Azambre B, Monchoux P (1988) Précisions minéralogiques sur l'aérinite: nouvelle occurrence à Saint-Pandelon (Landes, France), Bulletin de Minéralogie 111, 39-47 

Chemical formula redefined:
Rius J, Elkaim E, Torrelles X (2004) Structure determination of the blue mineral pigment aerinite from synchrotron powder diffraction data: The solution of an old riddle, European Journal of Mineralogy 16, 127-134

Chemical formula redefined again:
Rius J, Crespi A, Roig A, Melgarejo J C (2009) Crystal-structure refinement of Fe<sup>3+</sup>-rich aerinite from synchrotron powder diffraction and Mössbauer data, European Journal of Mineralogy 21, 233-240 ",hexagonal,P3c1,287.0,Ca Na Fe^3+ Fe^2+ Mg Al Si O H C,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
31,Aerugite,Ni2+8.5(As5+O4)2As5+O8,Ni8.5(AsO4)2As5+O8,Ni As O,nan,nan,Germany,1858,"Approved,Redefined",Not in a structural group, ,"Bergemann C (1858) XXVI. Ueber einige Nickelerze. Journal für Praktische Chemie 75, 239-244

Redefined in:
Davis R J, Hey M H, Kingsbury A W G (1965) Xanthiosite and aerugite, Mineralogical Magazine 35, 72-83",hexagonal,R-3m,200.0,Ni^2+ As^5+ O,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
32,Aeschynite-(Ce),"(Ce3+,Ca,Fe2+,Th4+)(Ti4+,Nb5+)2(O,OH)6","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6",Ce Ca Fe Th Ti Nb O H,IMA1987 s.p.,nan,Russia,1830,"Approved,Renamed",Aeschynite,aeschynite,"Berzelius J (1830) Mineralogie: Aeschynit, Jahres-Bericht über die Fortschritte der Physischen Wissenschaften 9, 182-209

Name changed from aeschynite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042",orthorhombic,nan,1420.0,Ce^3+ Ca Fe^2+ Th^4+ Ti^4+ Nb^5+ O H,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
33,Aeschynite-(Nd),"(Nd3+,Ln3+,Ca)(Ti4+,Nb5+)2(O,OH)6","(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6",Nd Ln Ca Ti Nb O H,nan,nan,China,1982,Approved,Aeschynite,aeschynite,"Zhang P, Tao K (1982) Aeschynite-(Nd), Scientia Geologica Sinica 1982, 424-428",orthorhombic,Pbmn|Pncm,580.0,Nd^3+ Ln^3+ Ca Ti^4+ Nb^5+ O H,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
34,Aeschynite-(Y),"(Y3+,Ca,Th4+)(Ti4+,Nb5+)2(O,OH)6","(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,IMA1987 s.p.,R060312 R080045,Norway,1906,"Approved,Renamed",Aeschynite,aeschynite,"Originally named priorite:
Brøgger W C (1906) Die Mineralien der Südnorwegischen Granitpegmatitgänge: Blomstrandin (und Priorit). Skrifter udgivne af Videnskabs-Selskabet i Christiania 1906(6), 1-162

Name changed to aeschynite-(Y):
Levinson A A (1966) A system of nomenclature for rare-earth minerals, American Mineralogist 51, 152-158",orthorhombic|amorphous,Pnma,2000.0,Y^3+ Ca Th^4+ Ti^4+ Nb^5+ O H,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM36 - Carbonatites & kimberlites"
35,Afghanite,Na22Ca10(Si24Al24)O96(S6+O4)6Cl6,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,IMA1967-041,R060422 R070558,Afghanistan,1967,Approved,Cancrinite-sodalite,cancrinite-sodalite,"Bariand P, Cesbron F, Giraud R (1968) Une nonvelle espece minerale: L’afghanite de Sar–e–Sang, Badakhshan, Afghanistan–Comparaison avec les mineraux du groupe de la cancrinite, Bulletin de la Société Française de Minéralogie et de Cristallographie 91, 34-42

Chemical formula revised:
Ballirano P, Bonaccorsi E, Maras A, Merlino S (1997) Crystal structure of afghanite, the eight-layer member of the cancrinite-group: evidence for long-range Si,Al ordering, European Journal of Mineralogy 9, 21-30",hexagonal,P31c,1600.0,Na Ca Si Al O S^6+ Cl,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
36,Afmite,Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O,Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O,Al O H P,IMA2005-025a,R130082,France,2005,Approved, , ,"Kampf A R, Mills S J, Rossman G R, Steele I M, Pluth J J, Favreau G (2011) Afmite, Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O, a new mineral from Fumade, Tarn, France: description and crystal structure, European Journal of Mineralogy 23, 269-277",triclinic,P-1,975.3,Al O H P,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
